X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
-2.200000000000000000e+02,-2.200000000000000000e+01,7.000000000000000000e+00,-3.615999999999999659e+00,-7.349999999999999645e+00,9.933100000000000307e+01
-2.200000000000000000e+02,-2.200000000000000000e+01,8.000000000000000000e+00,-3.621999999999999886e+00,-7.415000000000000036e+00,9.960500000000000398e+01
-2.200000000000000000e+02,-2.200000000000000000e+01,9.000000000000000000e+00,-3.609999999999999876e+00,-7.466999999999999638e+00,9.984999999999999432e+01
-2.200000000000000000e+02,-2.100000000000000000e+01,-1.099999999999999645e+01,-3.863999999999999879e+00,-6.645999999999999908e+00,9.945700000000000784e+01
-2.200000000000000000e+02,-2.100000000000000000e+01,-9.999999999999996447e+00,-3.849000000000000199e+00,-6.689000000000000057e+00,9.920799999999999841e+01
-2.200000000000000000e+02,-2.100000000000000000e+01,-8.999999999999996447e+00,-3.818000000000000060e+00,-6.706000000000000405e+00,9.897899999999999920e+01
-2.200000000000000000e+02,-2.100000000000000000e+01,-8.000000000000000000e+00,-3.819999999999999840e+00,-6.756000000000000227e+00,9.878300000000000125e+01
-2.200000000000000000e+02,-2.100000000000000000e+01,-7.000000000000000000e+00,-3.801000000000000156e+00,-6.774000000000000021e+00,9.862800000000000011e+01
-2.200000000000000000e+02,-2.100000000000000000e+01,-6.000000000000000000e+00,-3.766999999999999904e+00,-6.823999999999999844e+00,9.845600000000000307e+01
-2.200000000000000000e+02,-2.100000000000000000e+01,-5.000000000000000000e+00,-3.768000000000000238e+00,-6.850000000000000533e+00,9.837600000000000477e+01
-2.200000000000000000e+02,-2.100000000000000000e+01,-4.000000000000000000e+00,-3.754000000000000004e+00,-6.891000000000000014e+00,9.827800000000000580e+01
-2.200000000000000000e+02,-2.100000000000000000e+01,-3.000000000000000000e+00,-3.745000000000000107e+00,-6.923000000000000043e+00,9.823300000000000409e+01
-2.200000000000000000e+02,-2.100000000000000000e+01,-2.000000000000000000e+00,-3.739999999999999769e+00,-6.961000000000000298e+00,9.822400000000000375e+01
-2.200000000000000000e+02,-2.100000000000000000e+01,-1.000000000000000000e+00,-3.703000000000000291e+00,-6.993999999999999773e+00,9.820499999999999829e+01
-2.200000000000000000e+02,-2.100000000000000000e+01,0.000000000000000000e+00,-3.689999999999999947e+00,-7.027000000000000135e+00,9.823999999999999488e+01
-2.200000000000000000e+02,-2.100000000000000000e+01,1.000000000000000000e+00,-3.673000000000000043e+00,-7.079000000000000625e+00,9.831099999999999284e+01
-2.200000000000000000e+02,-2.100000000000000000e+01,2.000000000000000000e+00,-3.653000000000000025e+00,-7.128999999999999559e+00,9.843300000000000693e+01
-2.200000000000000000e+02,-2.100000000000000000e+01,3.000000000000000000e+00,-3.642999999999999794e+00,-7.155999999999999694e+00,9.852700000000000102e+01
-2.200000000000000000e+02,-2.100000000000000000e+01,4.000000000000000000e+00,-3.622999999999999776e+00,-7.209999999999999964e+00,9.868300000000000693e+01
-2.200000000000000000e+02,-2.100000000000000000e+01,5.000000000000000000e+00,-3.621999999999999886e+00,-7.267999999999999794e+00,9.887700000000000955e+01
