X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
-7.000000000000000000e+01,-8.100000000000000000e+01,-4.100000000000000000e+01,3.499999999999999639e-02,-1.570000000000000007e-01,4.500000000000000527e-02
-7.000000000000000000e+01,-8.100000000000000000e+01,-3.100000000000000000e+01,5.399999999999999939e-02,-1.590000000000000024e-01,3.000000000000000236e-02
-7.000000000000000000e+01,-8.100000000000000000e+01,-2.100000000000000000e+01,6.499999999999998834e-02,-1.620000000000000051e-01,1.700000000000000122e-02
-7.000000000000000000e+01,-8.100000000000000000e+01,-1.100000000000000000e+01,8.600000000000000699e-02,-1.640000000000000069e-01,1.000000000000000021e-03
-7.000000000000000000e+01,-8.100000000000000000e+01,-1.000000000000000000e+00,8.200000000000000344e-02,-1.700000000000000122e-01,1.000000000000000021e-03
-7.000000000000000000e+01,-8.100000000000000000e+01,9.000000000000000000e+00,8.600000000000000699e-02,-1.749999999999999889e-01,-4.000000000000000083e-03
-7.000000000000000000e+01,-8.100000000000000000e+01,1.900000000000000000e+01,8.399999999999999134e-02,-1.810000000000000220e-01,-9.000000000000001055e-03
-7.000000000000000000e+01,-8.100000000000000000e+01,2.900000000000000000e+01,1.029999999999999943e-01,-1.829999999999999960e-01,-2.000000000000000042e-02
-7.000000000000000000e+01,-8.100000000000000000e+01,3.900000000000000000e+01,1.160000000000000059e-01,-1.859999999999999987e-01,-3.400000000000000244e-02
-7.000000000000000000e+01,-8.100000000000000000e+01,4.900000000000000000e+01,1.290000000000000036e-01,-1.930000000000000049e-01,-4.700000000000000011e-02
-7.000000000000000000e+01,-8.100000000000000000e+01,5.900000000000000000e+01,1.389999999999999847e-01,-1.960000000000000075e-01,-5.500000000000000028e-02
-7.000000000000000000e+01,-7.100000000000000000e+01,-9.100000000000000000e+01,-6.000000000000000125e-03,-1.110000000000000014e-01,8.699999999999999400e-02
-7.000000000000000000e+01,-7.100000000000000000e+01,-8.100000000000000000e+01,1.600000000000000033e-02,-1.129999999999999893e-01,7.399999999999999634e-02
-7.000000000000000000e+01,-7.100000000000000000e+01,-7.100000000000000000e+01,-0.000000000000000000e+00,-1.239999999999999991e-01,7.299999999999999545e-02
-7.000000000000000000e+01,-7.100000000000000000e+01,-6.100000000000000000e+01,2.699999999999999969e-02,-1.239999999999999991e-01,5.299999999999999850e-02
-7.000000000000000000e+01,-7.100000000000000000e+01,-5.100000000000000000e+01,2.500000000000000139e-02,-1.310000000000000053e-01,4.800000000000000100e-02
-7.000000000000000000e+01,-7.100000000000000000e+01,-4.100000000000000000e+01,2.900000000000000147e-02,-1.350000000000000089e-01,3.799999999999999906e-02
-7.000000000000000000e+01,-7.100000000000000000e+01,-3.100000000000000000e+01,3.400000000000000244e-02,-1.399999999999999856e-01,3.000000000000000236e-02
-7.000000000000000000e+01,-7.100000000000000000e+01,-2.100000000000000000e+01,5.299999999999999850e-02,-1.410000000000000142e-01,1.299999999999999940e-02
-7.000000000000000000e+01,-7.100000000000000000e+01,-1.100000000000000000e+01,6.499999999999998834e-02,-1.449999999999999900e-01,6.000000000000000125e-03
-7.000000000000000000e+01,-7.100000000000000000e+01,-1.000000000000000000e+00,6.700000000000000400e-02,-1.499999999999999944e-01,-2.000000000000000042e-03
