X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
-100.0,3.0,27.0,0.014,0.014,-0.091
-100.0,33.0,27.0,0.01,0.01,-0.124
-100.0,63.0,27.0,0.024,0.024,-0.16699999999999998
-100.0,-87.0,-3.0,0.005,0.005,-0.0
-100.0,-57.0,-3.0,0.006,0.006,-0.029
-100.0,-27.0,-3.0,-0.008,-0.008,-0.052
-100.0,3.0,-3.0,0.005,0.005,-0.08799999999999998
-100.0,33.0,-3.0,-0.004,-0.004,-0.119
-100.0,63.0,-3.0,0.001,0.001,-0.16
-100.0,-87.0,-33.0,-0.027,-0.027,-0.007
-100.0,-57.0,-33.0,-0.025,-0.025,-0.031
-100.0,-27.0,-33.0,-0.017,-0.017,-0.062
-100.0,3.0,-33.0,-0.015,-0.015,-0.094
-100.0,33.0,-33.0,-0.014,-0.014,-0.127
-100.0,63.0,-33.0,0.005,0.005,-0.17
-100.0,-57.0,-63.0,-0.057,-0.057,-0.046
-100.0,-27.0,-63.0,-0.044,-0.044,-0.076
-100.0,3.0,-63.0,-0.021,-0.021,-0.111
-100.0,33.0,-63.0,-0.034,-0.034,-0.145
-100.0,63.0,-63.0,-0.021,-0.021,-0.187
-100.0,-27.0,-93.0,-0.08,-0.08,-0.103
-100.0,3.0,-93.0,-0.078,-0.078,-0.134
-70.0,-27.0,87.0,0.107,0.107,-0.048
-70.0,3.0,87.0,0.095,0.095,-0.08
-70.0,33.0,87.0,0.08699999999999998,0.08699999999999998,-0.115
-70.0,-57.0,57.0,0.067,0.067,-0.007
-70.0,-27.0,57.0,0.067,0.067,-0.041
-70.0,3.0,57.0,0.057,0.057,-0.07299999999999998
-70.0,33.0,57.0,0.057,0.057,-0.11
-70.0,63.0,57.0,0.057,0.057,-0.149
-70.0,-87.0,27.0,0.05,0.05,0.027
-70.0,-57.0,27.0,0.035,0.035,-0.003
-70.0,-27.0,27.0,0.021,0.021,-0.031
-70.0,3.0,27.0,0.021,0.021,-0.068
-70.0,33.0,27.0,0.033,0.033,-0.104
-70.0,63.0,27.0,0.025,0.025,-0.145
-70.0,-87.0,-3.0,-0.0,-0.0,0.027
-70.0,-57.0,-3.0,0.003,0.003,-0.006
-70.0,-27.0,-3.0,0.012,0.012,-0.037
-70.0,3.0,-3.0,0.001,0.001,-0.07200000000000001
-70.0,33.0,-3.0,0.01,0.01,-0.107
-70.0,63.0,-3.0,-0.006,-0.006,-0.13999999999999999
-70.0,-87.0,-33.0,-0.034,-0.034,0.027
-70.0,-57.0,-33.0,-0.021,-0.021,-0.011
-70.0,-27.0,-33.0,-0.019,-0.019,-0.04
-70.0,3.0,-33.0,-0.027,-0.027,-0.07499999999999998
-70.0,33.0,-33.0,-0.008,-0.008,-0.111
-70.0,63.0,-33.0,-0.015,-0.015,-0.15
-70.0,-57.0,-63.0,-0.051,-0.051,-0.015
-70.0,-27.0,-63.0,-0.061,-0.061,-0.046
-70.0,3.0,-63.0,-0.049,-0.049,-0.08
-70.0,33.0,-63.0,-0.049,-0.049,-0.12
-70.0,63.0,-63.0,-0.051,-0.051,-0.157
-70.0,-27.0,-93.0,-0.1,-0.1,-0.05
-70.0,3.0,-93.0,-0.079,-0.079,-0.08899999999999998
-40.0,-27.0,87.0,0.105,0.105,-0.01
-40.0,3.0,87.0,0.108,0.108,-0.048
-40.0,33.0,87.0,0.107,0.107,-0.08399999999999998
-40.0,-57.0,57.0,0.05,0.05,0.026
-40.0,-27.0,57.0,0.061,0.061,-0.012
-40.0,3.0,57.0,0.048,0.048,-0.043
-40.0,33.0,57.0,0.07399999999999998,0.07399999999999998,-0.085
-40.0,63.0,57.0,0.06499999999999999,0.06499999999999999,-0.118
-40.0,-87.0,27.0,0.033,0.033,0.06
-40.0,-57.0,27.0,0.033,0.033,0.023
-40.0,-27.0,27.0,0.038,0.038,-0.01
-40.0,3.0,27.0,0.029,0.029,-0.046
-40.0,33.0,27.0,0.038,0.038,-0.08399999999999998
-40.0,63.0,27.0,0.042,0.042,-0.117
-40.0,-87.0,-3.0,-0.0,-0.0,0.06
-40.0,-57.0,-3.0,-0.0,-0.0,0.024
-40.0,-27.0,-3.0,-0.002,-0.002,-0.009000000000000001
-40.0,3.0,-3.0,0.008,0.008,-0.047
-40.0,33.0,-3.0,0.006,0.006,-0.08
-40.0,63.0,-3.0,-0.0,-0.0,-0.115
-40.0,-87.0,-33.0,-0.025,-0.025,0.059
-40.0,-57.0,-33.0,-0.021,-0.021,0.021
-40.0,-27.0,-33.0,-0.031,-0.031,-0.009000000000000001
-40.0,3.0,-33.0,-0.032,-0.032,-0.042
-40.0,33.0,-33.0,-0.023,-0.023,-0.08
-40.0,63.0,-33.0,-0.036000000000000004,-0.036000000000000004,-0.115
-40.0,-57.0,-63.0,-0.053,-0.053,0.021
-40.0,-27.0,-63.0,-0.063,-0.063,-0.009000000000000001
-40.0,3.0,-63.0,-0.061,-0.061,-0.046
-40.0,33.0,-63.0,-0.06499999999999999,-0.06499999999999999,-0.082
-40.0,63.0,-63.0,-0.07200000000000001,-0.07200000000000001,-0.114
-40.0,-27.0,-93.0,-0.099,-0.099,-0.008
-40.0,3.0,-93.0,-0.102,-0.102,-0.044
-10.0,-27.0,87.0,0.105,0.105,0.017
-10.0,3.0,87.0,0.108,0.108,-0.015
-10.0,33.0,87.0,0.091,0.091,-0.049
-10.0,-57.0,57.0,0.06499999999999999,0.06499999999999999,0.056
-10.0,-27.0,57.0,0.055,0.055,0.02
-10.0,3.0,57.0,0.057,0.057,-0.012
-10.0,33.0,57.0,0.07100000000000001,0.07100000000000001,-0.051
-10.0,63.0,57.0,0.08,0.08,-0.085
-10.0,-87.0,27.0,0.04,0.04,0.08799999999999998
-10.0,-57.0,27.0,0.031,0.031,0.056
-10.0,-27.0,27.0,0.038,0.038,0.018000000000000002
-10.0,3.0,27.0,0.035,0.035,-0.014
-10.0,33.0,27.0,0.027,0.027,-0.049
-10.0,63.0,27.0,0.025,0.025,-0.082
-10.0,-87.0,-3.0,0.003,0.003,0.08899999999999998
-10.0,-57.0,-3.0,0.008,0.008,0.055
-10.0,-27.0,-3.0,0.001,0.001,0.023
-10.0,3.0,-3.0,-0.006,-0.006,-0.012
-10.0,33.0,-3.0,0.012,0.012,-0.053
-10.0,63.0,-3.0,0.001,0.001,-0.08399999999999998
-10.0,-87.0,-33.0,-0.04,-0.04,0.09000000000000001
-10.0,-57.0,-33.0,-0.027,-0.027,0.055
-10.0,-27.0,-33.0,-0.027,-0.027,0.018000000000000002
-10.0,3.0,-33.0,-0.032,-0.032,-0.017
-10.0,33.0,-33.0,-0.029,-0.029,-0.051
-10.0,63.0,-33.0,-0.025,-0.025,-0.08399999999999998
-10.0,-57.0,-63.0,-0.068,-0.068,0.053
-10.0,-27.0,-63.0,-0.068,-0.068,0.019
-10.0,3.0,-63.0,-0.082,-0.082,-0.014
-10.0,33.0,-63.0,-0.063,-0.063,-0.051
-10.0,63.0,-63.0,-0.061,-0.061,-0.08399999999999998
-10.0,-27.0,-93.0,-0.099,-0.099,0.019
-10.0,3.0,-93.0,-0.106,-0.106,-0.016
20.0,-27.0,87.0,0.097,0.097,0.047
20.0,3.0,87.0,0.099,0.099,0.013
20.0,33.0,87.0,0.07399999999999998,0.07399999999999998,-0.018000000000000002
20.0,-57.0,57.0,0.052,0.052,0.086
20.0,-27.0,57.0,0.07100000000000001,0.07100000000000001,0.047
20.0,3.0,57.0,0.059,0.059,0.015
20.0,33.0,57.0,0.063,0.063,-0.021
20.0,63.0,57.0,0.061,0.061,-0.057
20.0,-87.0,27.0,0.025,0.025,0.118
20.0,-57.0,27.0,0.031,0.031,0.081
20.0,-27.0,27.0,0.042,0.042,0.046
20.0,3.0,27.0,0.025,0.025,0.012
20.0,33.0,27.0,0.042,0.042,-0.022
20.0,63.0,27.0,0.031,0.031,-0.058
20.0,-87.0,-3.0,0.003,0.003,0.117
20.0,-57.0,-3.0,-0.018000000000000002,-0.018000000000000002,0.08399999999999998
20.0,-27.0,-3.0,0.001,0.001,0.047
20.0,3.0,-3.0,0.001,0.001,0.015
20.0,33.0,-3.0,-0.004,-0.004,-0.02
20.0,63.0,-3.0,0.003,0.003,-0.058
20.0,-87.0,-33.0,-0.036000000000000004,-0.036000000000000004,0.118
20.0,-57.0,-33.0,-0.03,-0.03,0.081
20.0,-27.0,-33.0,-0.04,-0.04,0.049
20.0,3.0,-33.0,-0.044,-0.044,0.013
20.0,33.0,-33.0,-0.027,-0.027,-0.022
20.0,63.0,-33.0,-0.029,-0.029,-0.059
20.0,-57.0,-63.0,-0.063,-0.063,0.08
20.0,-27.0,-63.0,-0.057,-0.057,0.043
20.0,3.0,-63.0,-0.06499999999999999,-0.06499999999999999,0.011
20.0,33.0,-63.0,-0.063,-0.063,-0.025
20.0,63.0,-63.0,-0.066,-0.066,-0.057
20.0,-27.0,-93.0,-0.097,-0.097,0.044
20.0,3.0,-93.0,-0.08899999999999998,-0.08899999999999998,0.01
50.0,-27.0,87.0,0.08899999999999998,0.08899999999999998,0.078
50.0,3.0,87.0,0.091,0.091,0.041
50.0,33.0,87.0,0.082,0.082,0.01
50.0,-57.0,57.0,0.07299999999999998,0.07299999999999998,0.109
50.0,-27.0,57.0,0.052,0.052,0.079
50.0,3.0,57.0,0.052,0.052,0.042
50.0,33.0,57.0,0.061,0.061,0.007
50.0,63.0,57.0,0.059,0.059,-0.028
50.0,-87.0,27.0,0.035,0.035,0.146
