x,y,z
-5.0,-0.30733286997841935,-0.951602073889516
-5.0,-0.2107957994307797,-0.977530117665097
-5.0,-0.11215252693505398,-0.9936910036334645
-5.0,-0.01238866346289056,-0.9999232575641008
-5.0,0.08749898343944727,-0.9961646088358406
-5.0,0.18651236942257576,-0.9824526126243325
-5.0,0.28366218546322625,-0.9589242746631385
-5.0,0.37797774271298107,-0.9258146823277321
-5.0,0.4685166713003771,-0.8834546557201531
-5.0,0.5543743361791615,-0.8322674422239008
-5.0,0.6346928759426347,-0.7727644875559871
-5.0,0.70866977429126,-0.7055403255703919
-5.0,0.7755658785102502,-0.6312666378723208
-5.0,0.8347127848391598,-0.5506855425976376
-5.0,0.8855195169413194,-0.4646021794137566
-5.0,0.9274784307440359,-0.373876664830236
-5.0,0.960170286650366,-0.27941549819892586
-5.0,0.9832684384425847,-0.18216250427209502
-5.0,0.9965420970232175,-0.0830894028174964
-5.0,2.0,0.0
-5.0,1.9900083305560516,0.1996668332936563
-5.0,1.9601331556824833,0.39733866159012243
-5.0,1.910672978251212,0.5910404133226792
-5.0,1.8421219880057702,0.778836684617301
-5.0,1.7551651237807455,0.958851077208406
-5.0,1.6506712298193564,1.129284946790071
-5.0,1.5296843745689768,1.2884353744753823
-5.0,1.3934134186943308,1.4347121817990456
-5.0,1.2432199365413288,1.5666538192549668
-5.0,1.0806046117362795,1.682941969615793
-5.0,0.9071922428511546,1.7824147201228708
-5.0,0.7247155089533468,1.8640781719344528
-5.0,0.5349976572491747,1.927116370834386
-5.0,0.33993428580048163,1.9708994599769205
-5.0,0.1414744033354058,1.994989973208109
-5.0,-0.05839904460257763,1.9991472060830102
-5.0,-0.2576889885910497,1.9833296209049371
-5.0,-0.4544041893861742,1.9476952617563903
-5.0,-0.6465791337270071,1.892600175374829
-5.0,-0.8322936730942848,1.8185948536513634
-5.0,-1.0096922091997151,1.7264187332977474
-5.0,-1.1770022345106916,1.6169928076391802
-5.0,-1.3325520425596489,1.49141042435344
-5.0,-1.4747874310824916,1.3509263611023012
-5.0,-1.6022872310938674,1.196944288207913
-5.0,-1.7137775067378946,1.0310027436429283
-5.0,-1.8081442840341224,0.8547597604676596
