X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
-2.200000000000000000e+02,-3.000000000000000000e+01,6.999999999999999112e+00,-2.171000000000000263e+00,-2.177999999999999936e+00,5.720700000000000074e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,-1.000000000000000178e+01,-9.569999999999999618e-01,1.594999999999999973e+00,5.757799999999999585e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,-9.000000000000001776e+00,-1.042000000000000037e+00,1.381000000000000005e+00,5.732300000000000040e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,-8.000000000000001776e+00,-1.104999999999999982e+00,1.153000000000000025e+00,5.707199999999999562e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,-7.000000000000001776e+00,-1.167000000000000037e+00,9.639999999999999680e-01,5.692699999999999960e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,-6.000000000000001776e+00,-1.232999999999999874e+00,7.570000000000000062e-01,5.677000000000000313e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,-5.000000000000001776e+00,-1.315999999999999837e+00,5.390000000000000346e-01,5.665899999999999892e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,-4.000000000000001776e+00,-1.381999999999999895e+00,3.339999999999999636e-01,5.653099999999999881e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,-3.000000000000001776e+00,-1.455999999999999961e+00,1.160000000000000059e-01,5.645400000000000063e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,-2.000000000000000000e+00,-1.520000000000000018e+00,-1.110000000000000014e-01,5.639300000000000068e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,-1.000000000000000000e+00,-1.572999999999999954e+00,-3.359999999999999654e-01,5.634100000000000108e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,0.000000000000000000e+00,-1.649999999999999911e+00,-5.530000000000000471e-01,5.635900000000000176e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,1.000000000000000000e+00,-1.740999999999999881e+00,-7.800000000000000266e-01,5.642199999999999704e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,2.000000000000000000e+00,-1.809000000000000163e+00,-1.016999999999999904e+00,5.645300000000000296e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,3.000000000000000000e+00,-1.877000000000000002e+00,-1.252999999999999892e+00,5.651500000000000057e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,4.000000000000000000e+00,-1.944999999999999840e+00,-1.472999999999999865e+00,5.661699999999999733e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,5.000000000000000000e+00,-2.024999999999999911e+00,-1.703999999999999959e+00,5.674399999999999977e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,5.999999999999999112e+00,-2.088999999999999968e+00,-1.917000000000000037e+00,5.685399999999999920e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,6.999999999999999112e+00,-2.145000000000000018e+00,-2.131000000000000227e+00,5.698000000000000398e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,7.999999999999999112e+00,-2.243000000000000327e+00,-2.360000000000000320e+00,5.721199999999999619e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,9.000000000000000000e+00,-2.314999999999999947e+00,-2.584999999999999964e+00,5.744699999999999562e+01
-2.200000000000000000e+02,-2.900000000000000000e+01,1.000000000000000000e+01,-2.411000000000000032e+00,-2.819999999999999840e+00,5.770900000000000318e+01
-2.200000000000000000e+02,-2.800000000000000000e+01,-1.300000000000000178e+01,-7.870000000000000329e-01,2.167000000000000259e+00,5.820400000000000063e+01
-2.200000000000000000e+02,-2.800000000000000000e+01,-1.200000000000000178e+01,-8.509999999999999787e-01,1.958999999999999853e+00,5.785799999999999699e+01
-2.200000000000000000e+02,-2.800000000000000000e+01,-1.100000000000000178e+01,-9.179999999999999272e-01,1.737999999999999989e+00,5.756900000000000261e+01
-2.200000000000000000e+02,-2.800000000000000000e+01,-1.000000000000000178e+01,-9.799999999999999822e-01,1.532000000000000028e+00,5.730899999999999750e+01
-2.200000000000000000e+02,-2.800000000000000000e+01,-9.000000000000001776e+00,-1.046000000000000041e+00,1.322999999999999954e+00,5.704200000000000159e+01
-2.200000000000000000e+02,-2.800000000000000000e+01,-8.000000000000001776e+00,-1.098999999999999977e+00,1.092000000000000082e+00,5.678799999999999670e+01
-2.200000000000000000e+02,-2.800000000000000000e+01,-7.000000000000001776e+00,-1.171000000000000041e+00,9.230000000000000426e-01,5.667000000000000171e+01
-2.200000000000000000e+02,-2.800000000000000000e+01,-6.000000000000001776e+00,-1.263000000000000123e+00,7.159999999999999698e-01,5.651099999999999568e+01
-2.200000000000000000e+02,-2.800000000000000000e+01,-5.000000000000001776e+00,-1.317999999999999838e+00,5.030000000000000027e-01,5.637600000000000477e+01
-2.200000000000000000e+02,-2.800000000000000000e+01,-4.000000000000001776e+00,-1.352999999999999980e+00,2.999999999999999889e-01,5.625399999999999778e+01
-2.200000000000000000e+02,-2.800000000000000000e+01,-3.000000000000001776e+00,-1.427000000000000046e+00,8.600000000000000699e-02,5.617699999999999960e+01
-2.200000000000000000e+02,-2.800000000000000000e+01,-2.000000000000000000e+00,-1.522000000000000020e+00,-1.290000000000000036e-01,5.614199999999999591e+01
-2.200000000000000000e+02,-2.800000000000000000e+01,-1.000000000000000000e+00,-1.579000000000000181e+00,-3.429999999999999716e-01,5.611200000000000188e+01
-2.200000000000000000e+02,-2.800000000000000000e+01,0.000000000000000000e+00,-1.641000000000000014e+00,-5.540000000000000480e-01,5.609599999999999653e+01
-2.200000000000000000e+02,-2.800000000000000000e+01,1.000000000000000000e+00,-1.707000000000000073e+00,-7.720000000000000195e-01,5.614100000000000534e+01
-2.200000000000000000e+02,-2.800000000000000000e+01,2.000000000000000000e+00,-1.763000000000000123e+00,-9.890000000000001013e-01,5.616799999999999926e+01
-2.200000000000000000e+02,-2.800000000000000000e+01,3.000000000000000000e+00,-1.840999999999999970e+00,-1.214999999999999858e+00,5.625399999999999778e+01
-2.200000000000000000e+02,-2.800000000000000000e+01,4.000000000000000000e+00,-1.921000000000000041e+00,-1.446999999999999842e+00,5.636399999999999721e+01
