X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
-2.200000000000000000e+02,3.797300000000001319e+01,8.143399999999999750e+01,2.311999999999999833e+00,-1.137000000000000011e+00,-5.812000000000000277e+00
-2.200000000000000000e+02,4.492599999999998772e+01,7.781499999999999773e+01,2.301000000000000156e+00,-1.258000000000000007e+00,-5.836000000000000298e+00
-2.200000000000000000e+02,5.153700000000000614e+01,7.360300000000000864e+01,2.285000000000000142e+00,-1.348999999999999977e+00,-5.857000000000000206e+00
-2.200000000000000000e+02,5.775600000000000023e+01,6.883100000000000307e+01,2.262999999999999901e+00,-1.425999999999999934e+00,-5.878999999999999559e+00
-2.200000000000000000e+02,6.353600000000000136e+01,6.353600000000000136e+01,2.221000000000000085e+00,-1.463999999999999968e+00,-5.899000000000000021e+00
-2.200000000000000000e+02,6.883099999999998886e+01,5.775600000000000023e+01,2.138000000000000345e+00,-1.480999999999999872e+00,-5.917000000000000703e+00
-2.200000000000000000e+02,7.360300000000000864e+01,5.153699999999999903e+01,2.020999999999999908e+00,-1.451000000000000068e+00,-5.926999999999999602e+00
-2.200000000000000000e+02,7.781499999999999773e+01,4.492600000000000193e+01,1.915000000000000036e+00,-1.384000000000000119e+00,-5.962000000000000632e+00
-2.200000000000000000e+02,8.143399999999999750e+01,3.797299999999999898e+01,1.754000000000000004e+00,-1.291000000000000147e+00,-5.995000000000000107e+00
-2.200000000000000000e+02,8.443399999999999750e+01,3.073100000000000165e+01,1.550000000000000044e+00,-1.141999999999999904e+00,-6.032000000000000028e+00
-2.200000000000000000e+02,8.679099999999999682e+01,2.325600000000000023e+01,1.360999999999999988e+00,-9.520000000000000684e-01,-6.084999999999999964e+00
-2.200000000000000000e+02,8.848799999999999955e+01,1.560299999999999976e+01,1.097000000000000197e+00,-7.380000000000001004e-01,-6.125000000000000000e+00
-2.200000000000000000e+02,8.951099999999999568e+01,7.830999999999999517e+00,8.339999999999999636e-01,-4.899999999999999911e-01,-6.169999999999999929e+00
-2.200000000000000000e+02,8.985300000000000864e+01,0.000000000000000000e+00,5.490000000000000435e-01,-2.290000000000000091e-01,-6.211000000000000298e+00
-2.200000000000000000e+02,8.951099999999999568e+01,-7.831000000000003070e+00,2.520000000000000018e-01,2.900000000000000147e-02,-6.244000000000000661e+00
-2.200000000000000000e+02,8.848799999999999955e+01,-1.560300000000000153e+01,-4.000000000000000083e-03,2.860000000000000320e-01,-6.280999999999999694e+00
-2.200000000000000000e+02,8.679099999999999682e+01,-2.325600000000000023e+01,-2.530000000000000027e-01,5.180000000000000160e-01,-6.299999999999999822e+00
-2.200000000000000000e+02,8.443399999999999750e+01,-3.073100000000000165e+01,-4.989999999999999991e-01,7.189999999999999725e-01,-6.310999999999999943e+00
-2.200000000000000000e+02,8.143399999999999750e+01,-3.797299999999999898e+01,-6.859999999999999432e-01,8.820000000000000062e-01,-6.330000000000000071e+00
-2.200000000000000000e+02,7.781499999999999773e+01,-4.492600000000000193e+01,-8.540000000000000924e-01,1.000000000000000000e+00,-6.336999999999999744e+00
-2.200000000000000000e+02,7.360300000000000864e+01,-5.153700000000000614e+01,-9.790000000000000924e-01,1.074999999999999956e+00,-6.348999999999999311e+00
-2.200000000000000000e+02,6.883099999999998886e+01,-5.775600000000000023e+01,-1.100000000000000089e+00,1.112999999999999989e+00,-6.354000000000000092e+00
-2.200000000000000000e+02,6.353600000000000136e+01,-6.353600000000000136e+01,-1.162000000000000144e+00,1.116000000000000103e+00,-6.363999999999999879e+00
-2.200000000000000000e+02,5.775600000000000023e+01,-6.883100000000000307e+01,-1.224999999999999867e+00,1.084999999999999964e+00,-6.361000000000000654e+00
-2.200000000000000000e+02,5.153700000000000614e+01,-7.360299999999999443e+01,-1.280000000000000027e+00,1.018999999999999906e+00,-6.352999999999999758e+00
-2.200000000000000000e+02,4.492599999999998772e+01,-7.781499999999999773e+01,-1.286999999999999922e+00,9.589999999999999636e-01,-6.360000000000000320e+00
-2.200000000000000000e+02,3.797300000000001319e+01,-8.143399999999999750e+01,-1.310000000000000053e+00,8.559999999999999831e-01,-6.329000000000000625e+00
-2.200000000000000000e+02,3.073099999999999454e+01,-8.443399999999999750e+01,-1.302999999999999936e+00,7.660000000000000142e-01,-6.307000000000000384e+00
-2.200000000000000000e+02,2.325600000000000023e+01,-8.679099999999999682e+01,-1.294999999999999929e+00,6.629999999999999227e-01,-6.269000000000000128e+00
-2.200000000000000000e+02,1.560300000000000864e+01,-8.848799999999999955e+01,-1.268000000000000016e+00,5.490000000000000435e-01,-6.227000000000000313e+00
-2.200000000000000000e+02,7.830999999999988859e+00,-8.951099999999999568e+01,-1.260999999999999899e+00,4.299999999999999933e-01,-6.163000000000000256e+00
-2.200000000000000000e+02,0.000000000000000000e+00,-8.985299999999999443e+01,-1.252999999999999892e+00,3.029999999999999916e-01,-6.092000000000000526e+00
-2.200000000000000000e+02,-7.831000000000003070e+00,-8.951099999999999568e+01,-1.260999999999999899e+00,1.749999999999999889e-01,-6.008999999999999453e+00
-2.200000000000000000e+02,-1.560299999999999443e+01,-8.848799999999999955e+01,-1.232999999999999874e+00,4.500000000000000527e-02,-5.943999999999999950e+00
-2.200000000000000000e+02,-2.325600000000000023e+01,-8.679099999999999682e+01,-1.227000000000000091e+00,-8.799999999999999489e-02,-5.860999999999999766e+00
-2.200000000000000000e+02,-3.073099999999999454e+01,-8.443399999999999750e+01,-1.203999999999999959e+00,-2.159999999999999976e-01,-5.787999999999999368e+00
-2.200000000000000000e+02,-3.797299999999999898e+01,-8.143399999999999750e+01,-1.175999999999999934e+00,-3.320000000000000173e-01,-5.714000000000000412e+00
-2.200000000000000000e+02,-4.492600000000000193e+01,-7.781499999999999773e+01,-1.141999999999999904e+00,-4.319999999999999951e-01,-5.642000000000000348e+00
-2.200000000000000000e+02,-5.153700000000000614e+01,-7.360299999999999443e+01,-1.092000000000000082e+00,-5.250000000000000222e-01,-5.581999999999999851e+00
-2.200000000000000000e+02,-5.775600000000000023e+01,-6.883100000000000307e+01,-1.062999999999999945e+00,-6.019999999999999796e-01,-5.514000000000000234e+00
